ID;nom;x;y;nom;iniciAne;fiAne
38;Cova de la Canal;417572;4614236;neolític;5500;2300
38;Cova de la Canal;417572;4614236;neolític antic cardial;5500;5000
38;Cova de la Canal;417572;4614236;prehistòric;5500;550
39;Cova Simanya;417612;4614354;bronze inicial-mitjà;2300;1300
40;Megàlit de Roca Sereny;418423;4616402;calcolític;3300;2300
41;Can Llobateres;428120;4598292;neolític final;3300;2300
42;Can Roqueta-Can Revella;427788;4598324;neolític antic postcardial/ neolític antic evolucionat;4400;4000
42;Can Roqueta-Can Revella;427788;4598324;neolític final;3300;2300
42;Can Roqueta-Can Revella;427788;4598324;bronze inicial;2300;1300
42;Can Roqueta-Can Revella;427788;4598324;bronze final;1300;750
42;Can Roqueta-Can Revella;427788;4598324;bronze final-primer ferro;1300;550
42;Can Roqueta-Can Revella;427788;4598324;primer ferro;750;550
43;Parc dels Pinetons;429350;4595700;neolític mitjà;4000;3300
43;Parc dels Pinetons;429350;4595700;neolític final;3300;2300
43;Parc dels Pinetons;429350;4595700;bronze inicial;2300;1300
43;Parc dels Pinetons;429350;4595700;bronze final-primer ferro;1300;550
43;Parc dels Pinetons;429350;4595700;primer ferro;750;550
44;Carrer de la Mina-Carrer de Bonavista;424417;4607991;prehistòric;5500;550
45;Carrer de Caldes;424513;4607963;prehistòric;5500;550
47;Carretera de Ripollet a Santiga;429080;4595383;bronze final;1300;750
48;Bòbila Padró;430856;4594105;neolític mitjà;4000;3300
48;Bòbila Padró;430856;4594105;bronze inicial;2300;1300
49;Can Sant Pere;425057;4606073;prehistòric;5500;550
50;El Pitu de Can Barba;423648;4607190;primer ferro;750;550
52;Can Juliana;422781;4608172;prehistòric;5500;550
53;Pla de la Bruguera-Magatzem Sony;424297;4604956;primer ferro;750;550
54;Bòbila d'en Sargantana;424532;4606962;neolític antic postcardial/ neolític antic evolucionat;4400;4000
54;Bòbila d'en Sargantana;424532;4606962;calcolític;3300;2300
55;Pla de la Bruguera;424152;4605676;neolític antic cardial;5500;5000
56;Forn del Raig ;424630;4608100;calcolític;2800;2250
57;Plaça Major (sectors 1 i 2);424077;4607740;neolític antic cardial;5500;5000
57;Plaça Major (sectors 1 i 2);424077;4607740;neolític mitjà;4000;3300
57;Plaça Major (sectors 1 i 2);424077;4607740;primer ferro;750;550
58;Horts de Can Torras;424136;4607870;neolític;5500;2300
58;Horts de Can Torras;424136;4607870;neolític mitjà;4000;3300
59;Can Coll;427149;4591965;bronze inicial;2300;1300
60;Bòbila Sallent;427292;4593728;neolític mitjà;4000;3300
61;Sitges de U.A.B.;426226;4594891;neolític;5500;2300
61;Sitges de U.A.B.;426226;4594891;bronze inicial;2300;1300
61;Sitges de U.A.B.;426226;4594891;primer ferro;750;550
62;Roca d'Àliga;422703;4621588;neolític mitjà;4000;3300
63;Cova del Salomó;423605;4618413;neolític antic epicardial;5000;4400
65;Forat Negre;423373;4620717;bronze inicial-mitjà;2300;1300
67;UAB Facultat de Lletres;425916;4595066;primer ferro;750;550
68;Can Fatjó dels Orons ;423404;4593946;calcolític;2800;2250
68;Can Fatjó dels Orons ;423404;4593946;bronze final-primer ferro;1300;550
68;Can Fatjó dels Orons ;423404;4593946;primer ferro;750;550
69;Can Bertran;428547;4591519;bronze final;1300;750
70;Els Mallols;427074;4594061;neolític antic postcardial/ neolític antic evolucionat;4400;4000
70;Els Mallols;427074;4594061;neolític mitjà;4000;3300
70;Els Mallols;427074;4594061;bronze inicial;2300;1300
71;Can Fatjó dels Xiprers;425611;4594018;neolític;5500;2300
72;Hipogeu del carrer París;427234;4594591;calcolític;2800;2250
73;Turó de Montcada;431349;4592208;prehistòric;5500;550
74;Can Viola;432376;4602247;primer ferro;750;550
74;Can Viola;432376;4602247;bronze inicial-mitjà;2300;1300
75;Barri de Can Maiol;432245;4602721;prehistòric;5500;550
76;Turó de Can Filuà;431484;4598380;neolític antic cardial;5500;5000
76;Turó de Can Filuà;431484;4598380;neolític final;3300;2300
76;Turó de Can Filuà;431484;4598380;calcolític;3300;2300
76;Turó de Can Filuà;431484;4598380;bronze inicial;2300;1300
76;Turó de Can Filuà;431484;4598380;bronze final-primer ferro;1300;550
76;Turó de Can Filuà;431484;4598380;bronze inicial-mitjà;2300;1300
77;Can Banús;432540;4599276;neolític antic cardial;5500;5000
